DATE,DTB3
2018-01-02,1.42
2018-01-03,1.39
2018-01-04,1.39
2018-01-05,1.37
2018-01-08,1.43
2018-01-09,1.42
2018-01-10,1.40
2018-01-11,1.41
2018-01-12,1.41
2018-01-15,.
2018-01-16,1.43
2018-01-17,1.42
2018-01-18,1.43
2018-01-19,1.42
2018-01-22,1.43
2018-01-23,1.42
2018-01-24,1.41
2018-01-25,1.40
2018-01-26,1.39
2018-01-29,1.43
2018-01-30,1.42
2018-01-31,1.44
2018-02-01,1.46
2018-02-02,1.46
2018-02-05,1.49
2018-02-06,1.50
2018-02-07,1.53
2018-02-08,1.53
2018-02-09,1.53
2018-02-12,1.61
2018-02-13,1.57
2018-02-14,1.56
2018-02-15,1.56
2018-02-16,1.59
2018-02-19,.
2018-02-20,1.64
2018-02-21,1.62
2018-02-22,1.61
2018-02-23,1.61
2018-02-26,1.65
2018-02-27,1.64
2018-02-28,1.63
2018-03-01,1.60
2018-03-02,1.62
2018-03-05,1.67
2018-03-06,1.65
2018-03-07,1.65
2018-03-08,1.64
2018-03-09,1.64
2018-03-12,1.68
2018-03-13,1.70
2018-03-14,1.73
2018-03-15,1.74
2018-03-16,1.75
2018-03-19,1.77
2018-03-20,1.78
2018-03-21,1.71
2018-03-22,1.69
2018-03-23,1.71
2018-03-26,1.76
2018-03-27,1.74
2018-03-28,1.70
2018-03-29,1.70
2018-03-30,.
2018-04-02,1.74
2018-04-03,1.72
2018-04-04,1.68
2018-04-05,1.69
2018-04-06,1.70
2018-04-09,1.73
2018-04-10,1.71
2018-04-11,1.70
2018-04-12,1.72
2018-04-13,1.73
2018-04-16,1.76
2018-04-17,1.77
2018-04-18,1.78
2018-04-19,1.79
2018-04-20,1.78
2018-04-23,1.84
2018-04-24,1.84
2018-04-25,1.82
2018-04-26,1.79
2018-04-27,1.78
2018-04-30,1.84
2018-05-01,1.82
2018-05-02,1.81
2018-05-03,1.80
2018-05-04,1.80
2018-05-07,1.83
2018-05-08,1.84
2018-05-09,1.85
2018-05-10,1.86
2018-05-11,1.88
2018-05-14,1.90
2018-05-15,1.89
2018-05-16,1.88
2018-05-17,1.88
2018-05-18,1.87
2018-05-21,1.90
2018-05-22,1.90
2018-05-23,1.88
2018-05-24,1.87
2018-05-25,1.86
2018-05-28,.
2018-05-29,1.90
2018-05-30,1.90
2018-05-31,1.89
2018-06-01,1.88
2018-06-04,1.91
2018-06-05,1.91
2018-06-06,1.91
2018-06-07,1.90
2018-06-08,1.89
2018-06-11,1.91
2018-06-12,1.89
2018-06-13,1.90
2018-06-14,1.90
2018-06-15,1.90
2018-06-18,1.91
2018-06-19,1.91
2018-06-20,1.90
2018-06-21,1.90
2018-06-22,1.89
2018-06-25,1.90
2018-06-26,1.90
2018-06-27,1.89
2018-06-28,1.89
2018-06-29,1.89
2018-07-02,1.95
2018-07-03,1.94
2018-07-04,.
2018-07-05,1.92
2018-07-06,1.93
2018-07-09,1.95
2018-07-10,1.95
2018-07-11,1.93
2018-07-12,1.94
2018-07-13,1.94
2018-07-16,1.98
2018-07-17,1.98
2018-07-18,1.96
2018-07-19,1.96
2018-07-20,1.95
2018-07-23,1.96
2018-07-24,1.98
2018-07-25,1.97
2018-07-26,1.95
2018-07-27,1.96
2018-07-30,2.01
2018-07-31,1.99
2018-08-01,1.99
2018-08-02,1.98
2018-08-03,1.97
2018-08-06,2.02
2018-08-07,2.02
2018-08-08,2.02
2018-08-09,2.02
2018-08-10,2.01
2018-08-13,2.03
2018-08-14,2.04
2018-08-15,2.03
2018-08-16,2.03
2018-08-17,2.01
2018-08-20,2.03
2018-08-21,2.04
2018-08-22,2.05
2018-08-23,2.04
2018-08-24,2.05
2018-08-27,2.08
2018-08-28,2.09
2018-08-29,2.09
2018-08-30,2.07
2018-08-31,2.07
2018-09-03,.
2018-09-04,2.09
2018-09-05,2.10
2018-09-06,2.09
2018-09-07,2.10
2018-09-10,2.11
2018-09-11,2.11
2018-09-12,2.12
2018-09-13,2.11
2018-09-14,2.12
2018-09-17,2.13
2018-09-18,2.13
2018-09-19,2.12
2018-09-20,2.13
2018-09-21,2.14
2018-09-24,2.18
2018-09-25,2.17
2018-09-26,2.16
2018-09-27,2.14
2018-09-28,2.15
2018-10-01,2.19
2018-10-02,2.19
2018-10-03,2.19
2018-10-04,2.18
2018-10-05,2.18
2018-10-08,.
2018-10-09,2.21
2018-10-10,2.23
2018-10-11,2.22
2018-10-12,2.23
2018-10-15,2.27
2018-10-16,2.26
2018-10-17,2.27
2018-10-18,2.27
2018-10-19,2.26
2018-10-22,2.30
2018-10-23,2.29
2018-10-24,2.29
2018-10-25,2.29
2018-10-26,2.28
2018-10-29,2.30
2018-10-30,2.29
2018-10-31,2.29
2018-11-01,2.27
2018-11-02,2.28
2018-11-05,2.32
2018-11-06,2.31
2018-11-07,2.32
2018-11-08,2.30
2018-11-09,2.31
2018-11-12,.
2018-11-13,2.34
2018-11-14,2.33
2018-11-15,2.32
2018-11-16,2.31
2018-11-19,2.34
2018-11-20,2.34
2018-11-21,2.36
2018-11-22,.
2018-11-23,2.36
2018-11-26,2.37
2018-11-27,2.36
2018-11-28,2.35
2018-11-29,2.32
2018-11-30,2.32
2018-12-03,2.34
2018-12-04,2.38
2018-12-05,.
2018-12-06,2.36
2018-12-07,2.35
2018-12-10,2.37
2018-12-11,2.37
2018-12-12,2.39
2018-12-13,2.38
2018-12-14,2.37
2018-12-17,2.36
2018-12-18,2.34
2018-12-19,2.35
