Date,DTB3
1/2/2018,1.42
1/3/2018,1.39
1/4/2018,1.39
1/5/2018,1.37
1/8/2018,1.43
1/9/2018,1.42
1/10/2018,1.4
1/11/2018,1.41
1/12/2018,1.41
1/15/2018,.
1/16/2018,1.43
1/17/2018,1.42
1/18/2018,1.43
1/19/2018,1.42
1/22/2018,1.43
1/23/2018,1.42
1/24/2018,1.41
1/25/2018,1.4
1/26/2018,1.39
1/29/2018,1.43
1/30/2018,1.42
1/31/2018,1.44
2/1/2018,1.46
2/2/2018,1.46
2/5/2018,1.49
2/6/2018,1.5
2/7/2018,1.53
2/8/2018,1.53
2/9/2018,1.53
2/12/2018,1.61
2/13/2018,1.57
2/14/2018,1.56
2/15/2018,1.56
2/16/2018,1.59
2/19/2018,.
2/20/2018,1.64
2/21/2018,1.62
2/22/2018,1.61
2/23/2018,1.61
2/26/2018,1.65
2/27/2018,1.64
2/28/2018,1.63
3/1/2018,1.6
3/2/2018,1.62
3/5/2018,1.67
3/6/2018,1.65
3/7/2018,1.65
3/8/2018,1.64
3/9/2018,1.64
3/12/2018,1.68
3/13/2018,1.7
3/14/2018,1.73
3/15/2018,1.74
3/16/2018,1.75
3/19/2018,1.77
3/20/2018,1.78
3/21/2018,1.71
3/22/2018,1.69
3/23/2018,1.71
3/26/2018,1.76
3/27/2018,1.74
3/28/2018,1.7
3/29/2018,1.7
3/30/2018,.
4/2/2018,1.74
4/3/2018,1.72
4/4/2018,1.68
4/5/2018,1.69
4/6/2018,1.7
4/9/2018,1.73
4/10/2018,1.71
4/11/2018,1.7
4/12/2018,1.72
4/13/2018,1.73
4/16/2018,1.76
4/17/2018,1.77
4/18/2018,1.78
4/19/2018,1.79
4/20/2018,1.78
4/23/2018,1.84
4/24/2018,1.84
4/25/2018,1.82
4/26/2018,1.79
4/27/2018,1.78
4/30/2018,1.84
5/1/2018,1.82
5/2/2018,1.81
5/3/2018,1.8
5/4/2018,1.8
5/7/2018,1.83
5/8/2018,1.84
5/9/2018,1.85
5/10/2018,1.86
5/11/2018,1.88
5/14/2018,1.9
5/15/2018,1.89
5/16/2018,1.88
5/17/2018,1.88
5/18/2018,1.87
5/21/2018,1.9
5/22/2018,1.9
5/23/2018,1.88
5/24/2018,1.87
5/25/2018,1.86
5/28/2018,.
5/29/2018,1.9
5/30/2018,1.9
5/31/2018,1.89
6/1/2018,1.88
6/4/2018,1.91
6/5/2018,1.91
6/6/2018,1.91
6/7/2018,1.9
6/8/2018,1.89
6/11/2018,1.91
6/12/2018,1.89
6/13/2018,1.9
6/14/2018,1.9
6/15/2018,1.9
6/18/2018,1.91
6/19/2018,1.91
6/20/2018,1.9
6/21/2018,1.9
6/22/2018,1.89
6/25/2018,1.9
6/26/2018,1.9
6/27/2018,1.89
6/28/2018,1.89
6/29/2018,1.89
7/2/2018,1.95
7/3/2018,1.94
7/4/2018,.
7/5/2018,1.92
7/6/2018,1.93
7/9/2018,1.95
7/10/2018,1.95
7/11/2018,1.93
7/12/2018,1.94
7/13/2018,1.94
7/16/2018,1.98
7/17/2018,1.98
7/18/2018,1.96
7/19/2018,1.96
7/20/2018,1.95
7/23/2018,1.96
7/24/2018,1.98
7/25/2018,1.97
7/26/2018,1.95
7/27/2018,1.96
7/30/2018,2.01
7/31/2018,1.99
8/1/2018,1.99
8/2/2018,1.98
8/3/2018,1.97
8/6/2018,2.02
8/7/2018,2.02
8/8/2018,2.02
8/9/2018,2.02
8/10/2018,2.01
8/13/2018,2.03
8/14/2018,2.04
8/15/2018,2.03
8/16/2018,2.03
8/17/2018,2.01
8/20/2018,2.03
8/21/2018,2.04
8/22/2018,2.05
8/23/2018,2.04
8/24/2018,2.05
8/27/2018,2.08
8/28/2018,2.09
8/29/2018,2.09
8/30/2018,2.07
8/31/2018,2.07
9/3/2018,.
9/4/2018,2.09
9/5/2018,2.1
9/6/2018,2.09
9/7/2018,2.1
9/10/2018,2.11
9/11/2018,2.11
9/12/2018,2.12
9/13/2018,2.11
9/14/2018,2.12
9/17/2018,2.13
9/18/2018,2.13
9/19/2018,2.12
9/20/2018,2.13
9/21/2018,2.14
9/24/2018,2.18
9/25/2018,2.17
9/26/2018,2.16
9/27/2018,2.14
9/28/2018,2.15
10/1/2018,2.19
10/2/2018,2.19
10/3/2018,2.19
10/4/2018,2.18
10/5/2018,2.18
10/8/2018,.
10/9/2018,2.21
10/10/2018,2.23
10/11/2018,2.22
10/12/2018,2.23
10/15/2018,2.27
10/16/2018,2.26
10/17/2018,2.27
10/18/2018,2.27
10/19/2018,2.26
10/22/2018,2.3
10/23/2018,2.29
10/24/2018,2.29
10/25/2018,2.29
10/26/2018,2.28
10/29/2018,2.3
10/30/2018,2.29
10/31/2018,2.29
11/1/2018,2.27
11/2/2018,2.28
11/5/2018,2.32
11/6/2018,2.31
11/7/2018,2.32
11/8/2018,2.3
11/9/2018,2.31
11/12/2018,.
11/13/2018,2.34
11/14/2018,2.33
11/15/2018,2.32
11/16/2018,2.31
11/19/2018,2.34
11/20/2018,2.34
11/21/2018,2.36
11/22/2018,.
11/23/2018,2.36
11/26/2018,2.37
11/27/2018,2.36
11/28/2018,2.35
11/29/2018,2.32
11/30/2018,2.32
12/3/2018,2.34
12/4/2018,2.38
12/5/2018,.
12/6/2018,2.36
12/7/2018,2.35
12/10/2018,2.37
12/11/2018,2.37
12/12/2018,2.39
12/13/2018,2.38
12/14/2018,2.37
12/17/2018,2.36
12/18/2018,2.34
12/19/2018,2.35
12/20/2018,2.34
12/21/2018,2.34
12/24/2018,2.41
12/25/2018,.
12/26/2018,2.39
12/27/2018,2.36
12/28/2018,2.35
12/31/2018,2.4
1/1/2019,.
1/2/2019,2.37
1/3/2019,2.36
